No.,Nama,Agustus,Unnamed: 3,September,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Oktober,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,November,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,nan,26,28,2.0,4.0,9.0,11.0,16,18,23,25,30.0,2,7,9,23,28,30,4,6,11,13,18.0,20
1.0,Bala Santoso,-,-,,,,,H,H,H,H,,H,H,H,H,,,H,H,,,,H
2.0,Cayadi Wasita,H,H,,,,,H,H,,H,,,H,H,H,H,,,,,H,,H
3.0,Kasiran Kurniawan,-,-,,,,,H,H,H,H,,,H,H,H,H,H,H,H,H,H,,H
4.0,Bahuwarna Wibowo,H,H,,,,,H,,,,,,H,H,H,,,H,H,,H,,H
5.0,Gasti Purwanti,-,-,,,,,H,H,,,,,H,H,,H,,H,H,H,H,,H
6.0,Mulya Siregar,-,-,,,,,H,H,H,H,,,H,H,H,,H,,H,,H,,H
7.0,Bala Manullang,-,-,,,,,,H,,H,,,H,H,,H,,,,,H,,H
8.0,Emong Sirait,-,-,,,,,H,H,H,H,,,H,H,H,H,H,H,H,H,H,,H
9.0,Iriana Sitorus,-,-,,,,,,H,H,H,,,,H,H,H,,,,,,,
10.0,Joko Marpaung,H,-,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
11.0,Ade Fujiati,H,H,,,,,H,H,H,H,,H,H,H,H,H,,,H,H,H,,H
12.0,Cayadi Riyanti,H,H,,,,,,H,H,H,,H,,H,,,,,H,H,H,,H
13.0,Perkasa Hidayat,H,H,,,,,H,H,H,H,,H,H,H,H,H,,,H,H,H,,H
14.0,Adinata Sihotang,H,H,,,,,,H,H,H,,H,,H,,,,,H,H,H,,H
15.0,Usman Jailani,H,H,,,,,H,H,H,H,,H,H,H,H,H,H,H,H,H,H,,H
16.0,Bakianto Iswahyudi,H,H,,,,,,H,,H,,,,H,,H,H,,H,H,H,,H
17.0,Ulya Megantara,H,H,,,,,H,H,H,H,,H,H,H,,,H,H,H,H,H,,H
18.0,Dono Damanik,H,H,,,,,H,H,H,H,,H,H,H,,,,,H,H,H,,H
19.0,Lamar Astuti,H,H,,,,,H,H,,H,,H,H,,,H,H,,,H,H,,
20.0,Karimah Kuswandari,H,,,,,,,H,,H,,,,H,H,H,H,,H,H,H,,H
21.0,Karta Halimah,,H,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
22.0,Bagya Samosir,H,H,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
23.0,Mahfud Nurdiyanti,-,-,,,,,H,H,H,H,,H,H,H,H,H,H,H,H,H,H,,H
24.0,Ade Putra,H,H,,,,,H,H,H,H,,H,H,H,H,H,,H,H,,H,,H
25.0,Ophelia Uyainah,H,H,,,,,H,H,H,H,,H,H,H,,H,,,H,H,H,,H
26.0,Elma Pratiwi,,H,,,,,H,H,H,H,,H,H,H,H,H,,,H,H,,,H
27.0,Lasmono Budiman,H,H,,,,,H,H,,H,,H,,H,,H,H,,H,,H,,H
28.0,Raden Yuliarti,H,H,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
29.0,Dewi Fujiati,H,H,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
30.0,Yessi Nasyiah,H,H,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
31.0,Sarah Widiastuti,-,-,,,,,H,H,H,H,,H,H,H,H,H,,,H,H,H,,H
32.0,Mutia Laksita,-,H,,,,,H,H,H,H,,H,H,H,,H,,,H,H,H,,H
33.0,Eva Winarsih,H,H,,,,,H,H,H,H,,H,H,,H,H,,,H,H,H,,H
34.0,Salman Wahyudin,H,H,,,,,,H,H,H,,H,,H,,,H,,H,,H,,H
35.0,Carla Firmansyah,H,H,,,,,H,H,H,H,,,H,H,H,H,,,H,H,H,,H
36.0,Sadina Najmudin,H,H,,,,,H,H,H,H,,H,H,H,H,H,,,H,H,H,,H
37.0,Catur Laksita,H,H,,,,,H,H,H,H,,H,H,H,H,H,,,H,H,H,,H
38.0,Tira Saptono,H,H,,,,,H,H,H,H,,H,H,H,,,,,H,H,H,,H
39.0,Ganep Sitorus,H,H,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
40.0,Mursita Puspasari,H,-,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
41.0,Purwa Hidayanto,H,H,,,,,H,H,,H,,H,,H,,H,,,H,H,H,,H
42.0,Vino Wibisono,-,-,,,,,H,H,H,H,,H,H,H,H,H,,,H,H,H,,H
43.0,Karen Sirait,-,-,,,,,H,H,H,H,,H,,,,H,,,H,H,H,,
44.0,Anggabaya Nainggolan,-,-,,,,,,H,H,H,,H,H,H,,H,,H,H,,H,,H
45.0,Lidya Irawan,H,H,,,,,H,H,H,H,,H,H,H,,,,,H,H,H,,H
46.0,Restu Utama,H,H,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
47.0,Akarsana Thamrin,H,H,,,,,,H,H,H,,H,H,H,,H,H,,H,,,,H
48.0,Jagapati Waskita,-,-,,,,,,H,H,H,,H,,H,,H,,,H,,H,,H
49.0,Faizah Mardhiyah,H,-,,,,,H,H,H,H,,H,H,H,H,H,,H,H,H,H,,H
