No.,Nama,N. Komponen,,,,,,,,,,,,,,,,
,,Tugas Individu 1,Tugas Individu 2,Tugas Individu 3,Tugas Individu 4,Lab 1,Lab 2,Lab 3,Tugas Kelompok 1,Tugas Kelompok 2,Tugas Kelompok 3,Tugas Kelompok 4,Kuis 1,Kuis 2,UTS,UAS,Partisipasi,Self-test
1,Bala Santoso,90,91,0,59,92,0,100,77,100,100,98.2,88,50,62.25,48.5,88,29.55
2,Cayadi Wasita,92,99,98,94,100,100,100,80.5,88,100,100,80,40,80.5,66.5,100,86.82
3,Kasiran Kurniawan,89,100,100,100,100,97,100,85.5,94,97.42,100,64,40,80.5,75,96,88.64
4,Bahuwarna Wibowo,74.5,100,45,99,100,47,96,89,93,73.33,69.06,44,20,56.75,41,88,77.73
5,Gasti Purwanti,88,100,100,97,100,100,99,83.5,100,100,100,72,40,83.5,68,100,90.46
6,Mulya Siregar,91,87.5,94,92,100,99,94,72.5,92,95.52,98,60,30,65.5,61,76,70.91
7,Bala Manullang,92.5,100,100,95,100,100,100,96.5,99,100,98.88,68,30,83,59.25,100,87.73
8,Emong Sirait,89,100,98,95,96,100,99,77,100,100,100,76,50,93.5,75.5,84,80
9,Iriana Sitorus,79.5,100,100,89,100,100,100,86,100,100,100,64,0,65.5,53.75,84,83.64
10,Joko Marpaung,67,100,100,95,100,100,92,77,100,100,100,44,0,49.5,0,64,78.64
11,Ade Fujiati,73.5,87,87,80,96,96,100,83.5,100,100,100,44,40,60.75,49,91,60.46
12,Cayadi Riyanti,78,100,100,95,100,97,100,90.5,96,99.5,99.8,68,70,82,78.5,100,77.28
13,Perkasa Hidayat,77.5,98,93,91,100,97,87,90.5,96,99.5,99.8,68,20,78,77.5,92,63.64
14,Adinata Sihotang,83.5,100,96,91,100,100,99,88,100,98.71,100,68,20,85,60,100,86.82
15,Usman Jailani,92,100,100,100,100,99,100,90.5,96,99.5,94.9,76,60,84,84.5,96,90.46
16,Bakianto Iswahyudi,81.5,100,98,94,98,97,100,74.5,94,100,100,76,60,77.5,79.5,96,88.75
17,Ulya Megantara,89.5,100,98,100,100,99,100,87,98,100,100,92,50,81,77.5,96,83.64
18,Dono Damanik,86.5,86,98,87,100,99,94,80,100,100,100,56,30,53.25,53.25,96,85.91
19,Lamar Astuti,91.5,99,100,98,100,99,98,72.5,92,95.52,98,68,30,76,73.5,100,74.1
20,Karimah Kuswandari,95,100,97,98,80,99,97,94,100,100,95,68,30,82.5,68.5,100,91.37
21,Karta Halimah,98.5,100,98,98,100,97,100,83.5,100,100,100,56,20,77,68.25,100,87.73
22,Bagya Samosir,83.5,95,99,99,97,100,100,90.5,96,99.5,99.8,56,20,63.75,59.75,100,86.82
23,Mahfud Nurdiyanti,47.5,85,94,97,100,97,100,87,100,100,100,32,0,56,37.5,83,84.55
24,Ade Putra,63.5,85,98,88.5,100,0,97,87,98,100,100,52,0,67.75,63.25,60,77.28
25,Ophelia Uyainah,83,88.5,96,93,100,99,46.5,87,98,100,100,56,20,70.5,63.5,92,86.82
26,Elma Pratiwi,88,94,98,99,100,99,100,79.5,96.5,100,100,64,50,73.75,66,88,87.28
27,Lasmono Budiman,80,98,98,95,93,97.5,100,87,98,100,100,60,60,73.5,80.5,84,82.73
28,Raden Yuliarti,86.5,90,96,100,99,98,100,80.5,88,100,100,68,30,70.75,52,92,88.64
29,Dewi Fujiati,83.5,92,97,97,100,95,90,82,95,100,100,72,30,74.25,66,100,86.67
30,Yessi Nasyiah,80,100,88,99,96,94,82,96.5,99,100,98.88,60,50,71.25,60.25,56,76.82
31,Sarah Widiastuti,92,100,96,100,100,100,99,89,93,100,100,72,30,60.5,53,100,84.1
32,Mutia Laksita,90,98,96,96,98,100,100,86,100,100,100,80,60,86.5,90,96,83.19
33,Eva Winarsih,78,94,57,99,98,99,94,88,100,98.71,100,68,20,79.5,78,78,76.82
34,Salman Wahyudin,92.5,100,100,100,100,100,100,79.5,96.5,100,100,84,20,74,66.5,100,80
35,Carla Firmansyah,97,100,98,99,100,99,99,80,100,100,97.2,84,20,72.5,64.5,92,81.37
36,Sadina Najmudin,92,100,96,100,98,99,100,80,100,100,100,88,50,88.5,73,88,89.55
37,Catur Laksita,73.5,100,100,83,100,99,100,82,95,100,100,64,20,75.5,47,100,80
38,Tira Saptono,94,99,95,95,96.5,94.5,99,86,100,100,100,72,30,78.5,64,76,82
39,Ganep Sitorus,68,97,99,86,100,100,94,85.5,94,97.42,100,44,10,66.75,44,88,77.28
40,Mursita Puspasari,86,92,96,92,100,99,100,74.5,94,100,100,60,40,75.5,62.5,72,89.1
41,Purwa Hidayanto,94.5,98,100,96,100,99,99.5,79.5,96.5,100,100,72,30,70.5,44.5,96,81.37
42,Vino Wibisono,90,81,98,93,100,99,100,83.5,100,100,100,64,40,79,78.5,84,82.28
43,Karen Sirait,90.5,92,96,92,100,99,100,80.5,88,100,100,64,30,84.5,66.5,92,82.28
44,Anggabaya Nainggolan,32.5,87,95,93,100,96,100,88,73.33,94.04,99.65,36,0,32.5,0,48,87.73
45,Lidya Irawan,95,96,100,98,100,99,100,94,100,100,93.67,52,10,43.25,37.5,86,91.82
46,Restu Utama,77.5,100,96,92,100,98,100,94,100,100,95,52,20,65.75,50.75,98,89.55
47,Akarsana Thamrin,80,100,98,96,100,100,100,82,95,100,100,56,20,73,70.5,100,75.91
48,Jagapati Waskita,83,100,100,93,100,94,100,89,93,100,94.75,56,10,54,46,91,85.91
49,Faizah Mardhiyah,88,100,98,97,100,99,100,87,100,100,100,60,30,73.75,71,96,87.73
